,humour,sarcasm,offensive,motivational,overall_sentiment
0,3,0,0,0,2
1,0,0,0,1,2
2,2,0,0,0,1
3,2,1,2,1,1
4,3,1,2,0,0
5,3,0,1,1,-1
6,0,0,0,0,-1
7,2,1,0,0,0
8,1,0,1,1,1
9,1,0,1,1,1
10,1,0,2,1,-1
11,0,1,2,0,2
12,2,0,0,0,1
13,1,0,0,0,1
14,0,0,0,0,-2
15,0,0,0,0,0
16,0,1,1,1,1
17,2,1,1,1,2
18,2,0,1,0,1
19,1,0,0,0,1
20,1,0,0,0,0
21,0,0,0,0,1
22,1,0,1,1,0
23,2,0,1,0,1
24,0,0,0,0,0
25,0,0,0,0,0
26,2,1,2,1,0
27,3,1,2,1,1
28,0,0,1,0,1
29,2,1,2,1,2
30,1,0,1,1,1
31,2,0,1,0,2
32,3,0,0,0,2
33,1,0,0,0,2
34,1,1,2,1,2
35,2,0,0,0,2
36,1,0,1,0,2
37,3,0,0,0,2
38,2,0,2,1,2
39,1,0,1,1,0
40,2,0,0,1,1
41,2,0,0,0,1
42,3,1,0,0,0
43,1,0,0,0,1
44,2,1,2,1,0
45,0,0,2,0,1
46,2,0,0,0,1
47,0,0,0,1,1
48,2,0,2,1,-1
49,1,0,0,0,1
50,0,0,0,1,1
51,0,0,0,0,0
52,2,1,0,0,1
53,0,1,2,1,2
54,0,0,0,0,0
55,1,0,1,0,1
56,2,0,1,0,1
57,1,0,0,1,1
58,0,0,0,0,-2
59,3,1,1,1,2
60,2,0,0,0,1
61,1,0,1,0,1
62,0,0,2,0,0
63,0,0,1,1,1
64,1,1,2,1,1
65,1,0,0,0,0
66,1,0,1,0,1
67,0,0,1,1,0
68,3,1,2,1,1
69,1,0,1,0,1
70,0,0,0,0,0
71,1,0,0,0,1
72,1,1,1,1,2
73,2,0,0,0,1
74,3,0,0,0,2
75,0,0,0,0,0
76,1,0,1,1,0
77,3,0,0,1,1
78,1,0,1,0,2
79,2,0,0,0,1
80,1,0,1,1,0
81,2,0,1,0,1
82,1,0,0,0,2
83,2,1,2,0,0
84,2,0,0,0,1
85,0,0,0,0,1
86,2,0,2,1,1
87,3,0,0,0,1
88,0,1,2,0,1
89,1,1,0,1,-2
90,1,0,0,0,2
91,3,1,1,0,1
92,0,1,2,1,-1
93,1,0,0,0,1
94,2,1,2,1,1
95,2,0,1,1,1
96,1,0,1,1,-1
97,2,0,1,1,0
98,2,0,1,1,1
99,2,0,2,1,0
100,2,0,0,0,1
101,0,0,0,0,0
102,0,1,2,0,1
103,0,0,1,1,0
104,2,0,1,1,1
105,1,0,0,0,1
106,2,0,0,1,-1
107,0,0,0,1,0
108,1,1,2,1,1
109,2,0,0,0,2
110,0,0,0,0,1
111,3,0,0,1,2
112,1,0,2,0,1
113,2,0,1,1,0
114,1,0,0,0,2
115,0,0,1,1,1
116,2,0,1,0,1
117,2,0,0,0,1
118,1,0,1,0,2
119,3,0,0,0,1
120,0,0,0,0,1
121,0,0,0,0,0
122,1,0,1,1,0
123,2,0,1,0,1
124,2,1,2,1,1
125,1,1,0,0,0
126,2,1,0,1,2
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,2,0,2,1,1
131,0,0,0,0,0
132,0,0,1,1,0
133,1,0,0,0,-2
134,0,0,1,1,1
135,2,0,0,0,1
136,2,1,1,0,0
137,1,1,1,0,0
138,0,0,0,0,1
139,0,0,1,1,0
140,1,0,1,1,0
141,0,0,0,0,0
142,3,0,0,1,0
143,1,0,1,0,0
144,2,0,3,1,-1
145,1,0,0,0,1
146,1,0,2,0,0
147,2,0,0,1,2
148,2,0,2,1,1
149,2,0,0,0,0
150,1,0,1,1,0
151,0,0,1,0,0
152,1,0,1,0,0
153,1,0,2,0,0
154,1,0,1,1,1
155,2,1,1,0,-1
156,2,1,1,0,1
157,1,0,0,0,1
158,3,1,1,1,1
159,2,0,0,0,1
160,0,0,0,0,0
161,2,1,0,1,-1
162,2,0,0,0,2
163,3,1,2,1,1
164,2,0,0,0,2
165,1,0,1,0,-1
166,1,0,2,1,1
167,2,0,1,1,1
168,1,0,1,1,-2
169,2,0,0,0,1
170,2,0,0,0,0
171,2,1,1,0,1
172,1,0,0,0,1
173,2,0,0,0,2
174,2,0,1,0,1
175,2,0,1,0,-1
176,3,0,1,0,0
177,2,0,0,0,1
178,1,1,1,1,1
179,2,0,0,0,0
180,3,1,1,0,2
181,3,0,1,0,-2
182,2,0,0,0,1
183,0,0,0,0,2
184,2,1,1,1,0
185,2,0,0,0,1
186,1,0,1,1,0
187,0,1,2,0,2
188,1,1,2,0,0
189,3,0,0,0,2
190,2,0,2,1,1
191,2,0,0,1,1
192,1,0,0,0,1
193,2,1,2,1,1
194,1,0,1,0,1
195,2,0,0,0,1
196,2,0,1,1,2
197,1,0,0,0,0
198,0,1,3,1,-2
199,2,0,2,0,2
200,1,0,1,1,0
201,3,0,1,0,1
202,2,0,2,0,2
203,1,1,2,0,0
204,1,0,1,0,1
205,0,0,0,0,1
206,2,1,2,1,2
207,2,1,1,0,0
208,2,1,1,1,1
209,2,0,3,0,0
210,1,0,0,0,1
